"year","disease","vaccine","coverage"
2000,"Hib","Hib",0.00743959006636749
2000,"HPV","HPV",NA
2000,"JE","JE",NA
2000,"MenA","MenA",NA
2000,"PCV","PCV",NA
2000,"Rota","Rota",NA
2000,"YF","YF",0.0828333410971737
2001,"Hib","Hib",0.0122189319610893
2001,"HPV","HPV",NA
2001,"JE","JE",NA
2001,"MenA","MenA",NA
2001,"PCV","PCV",NA
2001,"Rota","Rota",NA
2001,"YF","YF",0.0891719239584269
2002,"Hib","Hib",0.0385847206861002
2002,"HPV","HPV",NA
2002,"JE","JE",NA
2002,"MenA","MenA",NA
2002,"PCV","PCV",NA
2002,"Rota","Rota",NA
2002,"YF","YF",0.108667088458898
2003,"Hib","Hib",0.0434402238310543
2003,"HPV","HPV",NA
2003,"JE","JE",NA
2003,"MenA","MenA",NA
2003,"PCV","PCV",NA
2003,"Rota","Rota",NA
2003,"YF","YF",0.130564325543754
2004,"Hib","Hib",0.0521824767143761
2004,"HPV","HPV",NA
2004,"JE","JE",NA
2004,"MenA","MenA",NA
2004,"PCV","PCV",NA
2004,"Rota","Rota",NA
2004,"YF","YF",0.229716784310062
2005,"Hib","Hib",0.0621496621542429
2005,"HPV","HPV",NA
2005,"JE","JE",NA
2005,"MenA","MenA",NA
2005,"PCV","PCV",NA
2005,"Rota","Rota",NA
2005,"YF","YF",0.292901385282426
2006,"Hib","Hib",0.0744513569366154
2006,"HPV","HPV",NA
2006,"JE","JE",0.0161397274557642
2006,"MenA","MenA",NA
2006,"PCV","PCV",NA
2006,"Rota","Rota",0.000298868178198263
2006,"YF","YF",0.320090593845442
2007,"Hib","Hib",0.108761072262364
2007,"HPV","HPV",NA
2007,"JE","JE",0.0142753651892549
2007,"MenA","MenA",NA
2007,"PCV","PCV",NA
2007,"Rota","Rota",0.00177570312001217
2007,"YF","YF",0.362064664550224
2008,"Hib","Hib",0.137400227503302
2008,"HPV","HPV",NA
2008,"JE","JE",0.0184861055254349
2008,"MenA","MenA",NA
2008,"PCV","PCV",NA
2008,"Rota","Rota",0.00336241177970096
2008,"YF","YF",0.351558177935469
2009,"Hib","Hib",0.282699557599318
2009,"HPV","HPV",NA
2009,"JE","JE",0.0600025227290093
2009,"MenA","MenA",NA
2009,"PCV","PCV",5.90434513804188e-06
