"year","disease","vaccine","coverage"
2009,"Rota","Rota",0.00535088111598907
2009,"YF","YF",0.399858141505192
2010,"Hib","Hib",0.311570432551333
2010,"HPV","HPV",NA
2010,"JE","JE",0.304430417217523
2010,"MenA","MenA",NA
2010,"PCV","PCV",0.00463330682613282
2010,"Rota","Rota",0.00860832124723376
2010,"YF","YF",0.371058863844988
2011,"Hib","Hib",0.326594342355032
2011,"HPV","HPV",NA
2011,"JE","JE",0.353479474041459
2011,"MenA","MenA",NA
2011,"PCV","PCV",0.0385618246058237
2011,"Rota","Rota",0.0183408768089177
2011,"YF","YF",0.329851256217408
2012,"Hib","Hib",0.347567223135122
2012,"HPV","HPV",NA
2012,"JE","JE",0.335626196385375
2012,"MenA","MenA",NA
2012,"PCV","PCV",0.0730006129867822
2012,"Rota","Rota",0.036993868781662
2012,"YF","YF",0.328202218766745
2013,"Hib","Hib",0.435389080366418
2013,"HPV","HPV",NA
2013,"JE","JE",0.376773484029265
2013,"MenA","MenA",NA
2013,"PCV","PCV",0.156295264045321
2013,"Rota","Rota",0.0730856089225253
2013,"YF","YF",0.370318172892536
2014,"Hib","Hib",0.486462631825127
2014,"HPV","HPV",0.00423773051338279
2014,"JE","JE",0.382234916852656
2014,"MenA","MenA",NA
2014,"PCV","PCV",0.230768107820439
2014,"Rota","Rota",0.120582041364855
2014,"YF","YF",0.380255253201478
2015,"Hib","Hib",0.5669702619106
2015,"HPV","HPV",0.00295604195887186
2015,"JE","JE",0.412787304688101
2015,"MenA","MenA",NA
2015,"PCV","PCV",0.277067155178871
2015,"Rota","Rota",0.157048254085663
2015,"YF","YF",0.381527904894186
2016,"Hib","Hib",0.65593476898441
2016,"HPV","HPV",0.00931406870693897
2016,"JE","JE",0.396764456555467
2016,"MenA","MenA",0.00392229912858221
2016,"PCV","PCV",0.32535071221228
2016,"Rota","Rota",0.183371142837822
2016,"YF","YF",0.375359667664993
2017,"Hib","Hib",0.674084368553055
2017,"HPV","HPV",0.0197963357609806
2017,"JE","JE",0.415756149951698
2017,"MenA","MenA",0.147497665422636
2017,"PCV","PCV",0.359906077935852
2017,"Rota","Rota",0.287198690467626
2017,"YF","YF",0.412792774253533
2018,"Hib","Hib",0.684095884644005
2018,"HPV","HPV",0.0714119780552397
2018,"JE","JE",0.449485754383443
2018,"MenA","MenA",0.283867134104748
2018,"PCV","PCV",0.406362797832067
2018,"Rota","Rota",0.379848790299298
2018,"YF","YF",0.426920919527499
2000,"Measles","Measles",0.668982730762448
2001,"Measles","Measles",0.680392456642811
2002,"Measles","Measles",0.679679616809532
2003,"Measles","Measles",0.701455183514656
2004,"Measles","Measles",0.72956870714877
2005,"Measles","Measles",0.786669113764541
2006,"Measles","Measles",0.809417480572914
2007,"Measles","Measles",0.818411663940182
2008,"Measles","Measles",0.835864387391143
2009,"Measles","Measles",0.860452681480628
2010,"Measles","Measles",0.87358421612118
2011,"Measles","Measles",0.889905953075354
2012,"Measles","Measles",0.89143532861647
2013,"Measles","Measles",0.903046333315237
2014,"Measles","Measles",0.90713440232064
2015,"Measles","Measles",0.917845941828744
2016,"Measles","Measles",0.929321534733305
2017,"Measles","Measles",0.937880219990839
2018,"Measles","Measles",0.942976962662185
2000,"Rubella","Rubella",0.0368538530854364
2001,"Rubella","Rubella",0.0501621162233038
2002,"Rubella","Rubella",0.0505851191119618
2003,"Rubella","Rubella",0.0510328793550144
2004,"Rubella","Rubella",0.056966157209881
2005,"Rubella","Rubella",0.0591017481088226
2006,"Rubella","Rubella",0.0637013602406781
2007,"Rubella","Rubella",0.0663945164880748
2008,"Rubella","Rubella",0.0635531790425163
2009,"Rubella","Rubella",0.0679900471130165
2010,"Rubella","Rubella",0.18571065183285
2011,"Rubella","Rubella",0.228441982937484
2012,"Rubella","Rubella",0.251748225292617
2013,"Rubella","Rubella",0.294777895573595
2014,"Rubella","Rubella",0.320097609017316
2015,"Rubella","Rubella",0.355575144020113
2016,"Rubella","Rubella",0.359808162657857
2017,"Rubella","Rubella",0.562212822398687
2018,"Rubella","Rubella",0.74868431560171
2000,"HepB","HepB",0.197838689291067
2001,"HepB","HepB",0.223242470440926
2002,"HepB","HepB",0.296398826389881
2003,"HepB","HepB",0.363406102256526
2004,"HepB","HepB",0.495282029388256
2005,"HepB","HepB",0.557184120777432
2006,"HepB","HepB",0.600521028751737
2007,"HepB","HepB",0.655740199706225
2008,"HepB","HepB",0.726424820311697
2009,"HepB","HepB",0.774166253696003
2010,"HepB","HepB",0.771143873469694
2011,"HepB","HepB",0.785179734251305
2012,"HepB","HepB",0.847970991883564
2013,"HepB","HepB",0.854897347852549
2014,"HepB","HepB",0.86949185554802
2015,"HepB","HepB",0.88298187775328
2016,"HepB","HepB",0.891217540990297
2017,"HepB","HepB",0.88938092358342
2018,"HepB","HepB",0.892717885419713
