"disease","year","variable","value","outcome","view"
"HepB",2000,"all-all-all-dalys_averted_mean",520237.5511975,"impact","A"
"HepB",2001,"all-all-all-dalys_averted_mean",695944.0431925,"impact","A"
"HepB",2002,"all-all-all-dalys_averted_mean",913934.3534175,"impact","A"
"HepB",2003,"all-all-all-dalys_averted_mean",1171529.30876,"impact","A"
"HepB",2004,"all-all-all-dalys_averted_mean",1498268.569,"impact","A"
"HepB",2005,"all-all-all-dalys_averted_mean",1850506.76488,"impact","A"
"HepB",2006,"all-all-all-dalys_averted_mean",2202751.171095,"impact","A"
"HepB",2007,"all-all-all-dalys_averted_mean",2581743.08764,"impact","A"
"HepB",2008,"all-all-all-dalys_averted_mean",3005345.4505425,"impact","A"
"HepB",2009,"all-all-all-dalys_averted_mean",3493208.546395,"impact","A"
"HepB",2010,"all-all-all-dalys_averted_mean",3979804.33637,"impact","A"
"HepB",2011,"all-all-all-dalys_averted_mean",4460314.575605,"impact","A"
"HepB",2012,"all-all-all-dalys_averted_mean",4993423.7143725,"impact","A"
"HepB",2013,"all-all-all-dalys_averted_mean",5542621.01304,"impact","A"
"HepB",2014,"all-all-all-dalys_averted_mean",6117672.7719375,"impact","A"
"HepB",2015,"all-all-all-dalys_averted_mean",6779715.024455,"impact","A"
"HepB",2016,"all-all-all-dalys_averted_mean",7453776.49148,"impact","A"
"HepB",2017,"all-all-all-dalys_averted_mean",8165687.8138075,"impact","A"
"HepB",2018,"all-all-all-dalys_averted_mean",8925349.2455675,"impact","A"
"HepB",2019,"all-all-all-dalys_averted_mean",9734427.8358575,"impact","A"
"HepB",2020,"all-all-all-dalys_averted_mean",10647545.97829,"impact","A"
"HepB",2021,"all-all-all-dalys_averted_mean",11555537.35986,"impact","A"
"HepB",2022,"all-all-all-dalys_averted_mean",12511534.0542225,"impact","A"
"HepB",2023,"all-all-all-dalys_averted_mean",13516515.30942,"impact","A"
"HepB",2024,"all-all-all-dalys_averted_mean",14571516.73497,"impact","A"
"HepB",2025,"all-all-all-dalys_averted_mean",15735608.965925,"impact","A"
"HepB",2026,"all-all-all-dalys_averted_mean",16872487.38906,"impact","A"
"HepB",2027,"all-all-all-dalys_averted_mean",18043764.94126,"impact","A"
"HepB",2028,"all-all-all-dalys_averted_mean",19249459.5553375,"impact","A"
"HepB",2029,"all-all-all-dalys_averted_mean",20487614.5961825,"impact","A"
"HepB",2030,"all-all-all-dalys_averted_mean",21834133.3808425,"impact","A"
"Hib",2000,"Hib3-routine-dalys_averted_mean",36733.243975,"impact","A"
"Hib",2001,"Hib3-routine-dalys_averted_mean",69230.28659275,"impact","A"
"Hib",2002,"Hib3-routine-dalys_averted_mean",356053.26282975,"impact","A"
"Hib",2003,"Hib3-routine-dalys_averted_mean",533796.10554925,"impact","A"
"Hib",2004,"Hib3-routine-dalys_averted_mean",710306.85766725,"impact","A"
"Hib",2005,"Hib3-routine-dalys_averted_mean",914480.6567465,"impact","A"
"Hib",2006,"Hib3-routine-dalys_averted_mean",1184946.07347825,"impact","A"
"Hib",2007,"Hib3-routine-dalys_averted_mean",1773330.46808875,"impact","A"
"Hib",2008,"Hib3-routine-dalys_averted_mean",2403662.77798225,"impact","A"
"Hib",2009,"Hib3-routine-dalys_averted_mean",4466381.26833647,"impact","A"
"Hib",2010,"Hib3-routine-dalys_averted_mean",5650625.40523305,"impact","A"
"Hib",2011,"Hib3-routine-dalys_averted_mean",6217687.76285745,"impact","A"
"Hib",2012,"Hib3-routine-dalys_averted_mean",6684752.71639817,"impact","A"
"Hib",2013,"Hib3-routine-dalys_averted_mean",7855265.45466273,"impact","A"
"Hib",2014,"Hib3-routine-dalys_averted_mean",8677561.70192358,"impact","A"
"Hib",2015,"Hib3-routine-dalys_averted_mean",9660552.43848247,"impact","A"
"Hib",2016,"Hib3-routine-dalys_averted_mean",10888067.1092818,"impact","A"
"Hib",2017,"Hib3-routine-dalys_averted_mean",11588691.2191559,"impact","A"
"Hib",2018,"Hib3-routine-dalys_averted_mean",11930377.4103011,"impact","A"
"Hib",2019,"Hib3-routine-dalys_averted_mean",12190448.8797865,"impact","A"
"Hib",2020,"Hib3-routine-dalys_averted_mean",12355956.5232364,"impact","A"
"Hib",2021,"Hib3-routine-dalys_averted_mean",12409273.9604866,"impact","A"
"Hib",2022,"Hib3-routine-dalys_averted_mean",12443776.3370858,"impact","A"
"Hib",2023,"Hib3-routine-dalys_averted_mean",12457960.0999258,"impact","A"
"Hib",2024,"Hib3-routine-dalys_averted_mean",12460844.1399862,"impact","A"
"Hib",2025,"Hib3-routine-dalys_averted_mean",12458360.7774038,"impact","A"
"Hib",2026,"Hib3-routine-dalys_averted_mean",12450523.3860873,"impact","A"
"Hib",2027,"Hib3-routine-dalys_averted_mean",12439755.9500516,"impact","A"
"Hib",2028,"Hib3-routine-dalys_averted_mean",12423438.2933786,"impact","A"
"Hib",2029,"Hib3-routine-dalys_averted_mean",12437353.2334777,"impact","A"
"Hib",2030,"Hib3-routine-dalys_averted_mean",12465939.1123545,"impact","A"
"HPV",2000,"all-all-dalys_averted_mean",-3943.4315,"impact","A"
"HPV",2001,"all-all-dalys_averted_mean",-4048.543,"impact","A"
"HPV",2002,"all-all-dalys_averted_mean",-4159.71775,"impact","A"
"HPV",2003,"all-all-dalys_averted_mean",-4275.507,"impact","A"
"HPV",2004,"all-all-dalys_averted_mean",-4395.66775,"impact","A"
"HPV",2005,"all-all-dalys_averted_mean",-4519.46125,"impact","A"
"HPV",2006,"all-all-dalys_averted_mean",-4636.6145,"impact","A"
"HPV",2007,"all-all-dalys_averted_mean",-4758.16975,"impact","A"
"HPV",2008,"all-all-dalys_averted_mean",-4883.74,"impact","A"
"HPV",2009,"all-all-dalys_averted_mean",-5014.3045,"impact","A"
"HPV",2010,"all-all-dalys_averted_mean",-5149.9455,"impact","A"
"HPV",2011,"all-all-dalys_averted_mean",-5279.10325,"impact","A"
"HPV",2012,"all-all-dalys_averted_mean",-5414.76625,"impact","A"
"HPV",2013,"all-all-dalys_averted_mean",-5556.1575,"impact","A"
"HPV",2014,"all-all-dalys_averted_mean",-5702.165,"impact","A"
"HPV",2015,"all-all-dalys_averted_mean",-5851.4325,"impact","A"
