"country","adm0","Province","adm1","lon","lat","continent","cases_or_outbreaks","surv.qual.adm0","population","logpop","temp_max","temp_min","temp_mean","precip_max","precip_min","precip_mean","altitude"
"Angola","AGO","Bengo","AGO.1_1",13.88141273,-8.97773979,"Africa",1,0.003025194,409630,5.61239175548084,30.9190824238234,22.975391377352,26.9472369005877,175.106992937923,0.992345301002519,52.6856984707064,225.137705484524
"Angola","AGO","Benguela","AGO.2_1",13.98970619,-12.93351173,"Africa",1,0.003025194,2837363,6.45291490111557,28.344698074525,18.5481009447721,23.4463995096486,240.996026462072,0,77.8405107123482,900.544323844919
"Angola","AGO","Bié","AGO.3_1",17.36258115,-12.32493312,"Africa",1,0.003025194,7789472,6.89150802054061,30.0666879291149,15.4209164501763,22.7438021896456,221.07829606606,0,104.418882793654,1469.68409821045
"Angola","AGO","Cabinda","AGO.4_1",12.47566101,-5.03929419,"Africa",1,0.003025194,993646,5.99723168859311,30.8264423660877,22.4164460099599,26.6214441880238,184.459006437508,0.0700838090610956,89.8415320458319,149.470981871274
"Angola","AGO","Cuando Cubango","AGO.5_1",19.51642257,-16.11853758,"Africa",1,0.003025194,610471,5.7856650379138,33.1017939399932,17.3026521800038,25.2022230599985,172.415193691132,0,64.0086387096597,1203.49102788713
"Angola","AGO","Cuanza Norte","AGO.6_1",14.94596064,-8.89862227,"Africa",1,0.003025194,1105057,6.04338467996413,29.4052245418779,19.706833729132,24.556029135505,208.617445858292,0.727076170559671,83.9976990512647,710.32088784881
"Angola","AGO","Cuanza Sul","AGO.7_1",15.04484941,-10.82598035,"Africa",1,0.003025194,856787,5.93287286833839,27.7989060645711,18.2484435383258,23.0236748014485,188.245154124699,0.00161275598697623,84.3617999979714,1095.39288377543
"Angola","AGO","Cunene","AGO.8_1",15.57852043,-16.50351286,"Africa",1,0.003025194,564540,5.75169471891613,33.667625861099,18.0826198639225,25.8751228625108,136.698994809523,0,50.1364684944786,1166.46675233918
"Angola","AGO","Huambo","AGO.9_1",15.74563384,-12.56917165,"Africa",1,0.003025194,1674608,6.22391316160508,28.6760695389267,14.7390980095742,21.7075837742505,228.61400856639,0,105.412803392962,1634.13552780931
"Angola","AGO","Huíla","AGO.10_1",14.95009645,-14.74288032,"Africa",1,0.003025194,663592,5.82190114170314,30.4285832921612,15.7449862817858,23.0867847869735,204.311871248515,0,74.9540247103057,1388.32588323149
"Angola","AGO","Luanda","AGO.11_1",13.31045103,-8.97973646,"Africa",1,0.003025194,2519103,6.40124592510713,30.3654564681001,23.7937257666549,27.0795911173775,161.309129362002,0,42.3798319821407,72.3891050583658
"Angola","AGO","Lunda Norte","AGO.12_1",19.49290413,-8.65208694,"Africa",1,0.003025194,1650719,6.21767315010355,31.1032511782188,16.8297969778001,23.9665240780094,229.781098311677,2.15507790751472,121.527271551014,962.734883757388
"Angola","AGO","Lunda Sul","AGO.13_1",20.65539948,-10.1761504,"Africa",1,0.003025194,799415,5.90277229298102,31.6476428139314,16.0162982888255,23.8319705513785,233.014789127992,0.0888535995160315,115.44149706162,1130.08610345387
"Angola","AGO","Malanje","AGO.14_1",16.95820552,-9.49005179,"Africa",1,0.003025194,594543,5.77418327020347,30.1990835479931,16.804106074445,23.5015948112191,210.731550374073,0.632331359489332,103.203970436811,1001.30018162974
"Angola","AGO","Moxico","AGO.15_1",21.04007468,-12.87972557,"Africa",0,0.003025194,502593,5.70121643554477,31.2870757686295,15.8126407503908,23.5498582595101,222.737459093278,0,97.2641789126281,1224.79568924187
"Angola","AGO","Namibe","AGO.16_1",12.72712792,-15.49315696,"Africa",1,0.003025194,2126845,6.32773584058559,28.0499949914855,19.2632947439218,23.6566448677037,92.3454443983343,0,25.083230778037,563.483366005123
